stateId,unique.str,composition,structure,fct,type
1067,ABAL fasy  8 2,ABAL fasy ,8,2,0
1068,PIAB lade  12 2,PIAB lade ,12,2,0
1069,PIAB abal  11 2,PIAB abal ,11,2,0
1070,FASY  12 2,FASY ,12,2,0
1071,PISY  9 2,PISY ,9,2,0
1072,abal fasy  11 2,abal fasy ,11,2,0
1073,lade fasy  11 2,lade fasy ,11,2,0
1074,lade pisy fasy  9 2,lade pisy fasy ,9,2,0
1075,FASY frex  5 2,FASY frex ,5,2,0
1076,lade pisy  9 2,lade pisy ,9,2,0
1077,PISY fasy  8 2,PISY fasy ,8,2,0
1078,abal  10 2,abal ,10,2,0
1079,lade  7 2,lade ,7,2,0
1080,FASY  4 2,FASY ,4,2,0
1081,piab fasy acps  10 2,piab fasy acps ,10,2,0
1082,piab lade fasy  12 2,piab lade fasy ,12,2,0
1083,PIAB pisy  10 2,PIAB pisy ,10,2,0
1084,FASY frex  6 2,FASY frex ,6,2,0
1085,LADE piab  11 2,LADE piab ,11,2,0
1086,piab abal  12 2,piab abal ,12,2,0
1087,piab lade pisy fasy  8 2,piab lade pisy fasy ,8,2,0
1088,FASY pisy  10 2,FASY pisy ,10,2,0
1089,fasy frex  6 2,fasy frex ,6,2,0
1090,FASY abal  11 2,FASY abal ,11,2,0
1091,PIAB  13 2,PIAB ,13,2,0
1092,PIAB  13 1,PIAB ,13,1,0
1093,piab pisy  11 2,piab pisy ,11,2,0
1094,piab pisy fasy  11 2,piab pisy fasy ,11,2,0
1095,PIAB pisy  11 2,PIAB pisy ,11,2,0
1096,PIAB fasy  12 1,PIAB fasy ,12,1,0
1097,FASY pisy  7 2,FASY pisy ,7,2,0
1098,piab abal fasy  12 2,piab abal fasy ,12,2,0
1099,PIAB abal  12 2,PIAB abal ,12,2,0
1100,PIAB fasy  13 2,PIAB fasy ,13,2,0
1101,piab abal fasy  11 1,piab abal fasy ,11,1,0
1102,FASY piab  12 2,FASY piab ,12,2,0
1103,piab fasy  13 1,piab fasy ,13,1,0
1104,piab fasy  13 2,piab fasy ,13,2,0
1105,FASY qupe  5 1,FASY qupe ,5,1,0
1106,FASY qupe  5 2,FASY qupe ,5,2,0
1107,fasy  12 2,fasy ,12,2,0
1108,FASY abal  10 1,FASY abal ,10,1,0
1109,FASY qupe  6 2,FASY qupe ,6,2,0
1110,PIAB  12 0,PIAB ,12,0,0
1111,FASY abal  11 1,FASY abal ,11,1,0
1112,FASY piab  4 2,FASY piab ,4,2,0
1113,FASY piab  13 2,FASY piab ,13,2,0
1114,piab abal fasy  12 1,piab abal fasy ,12,1,0
1115,FASY  13 2,FASY ,13,2,0
1116,PIAB fasy  13 1,PIAB fasy ,13,1,0
1117,FASY  12 1,FASY ,12,1,0
1118,FASY piab  12 1,FASY piab ,12,1,0
1119,abal fasy  12 2,abal fasy ,12,2,0
1120,FASY qupe  8 1,FASY qupe ,8,1,0
1121,FASY qupe  8 2,FASY qupe ,8,2,0
1122,fasy qupe  8 1,fasy qupe ,8,1,0
1123,fasy qupe  8 2,fasy qupe ,8,2,0
1124,FASY qupe  9 2,FASY qupe ,9,2,0
1125,FASY qupe  9 1,FASY qupe ,9,1,0
1126,FASY qupe  7 1,FASY qupe ,7,1,0
1127,fasy qupe  7 1,fasy qupe ,7,1,0
1128,piab abal  12 1,piab abal ,12,1,0
1129,piab  13 2,piab ,13,2,0
1130,FASY abal  12 2,FASY abal ,12,2,0
1131,PISY  3 2,PISY ,3,2,0
1132,piab abal lade fasy  7 2,piab abal lade fasy ,7,2,0
1133,FREX piab  9 0,FREX piab ,9,0,0
1134,fasy  2 0,fasy ,2,0,0
1135,lade  2 0,lade ,2,0,0
1136,lade  3 0,lade ,3,0,0
1137,lade  4 0,lade ,4,0,0
1138,ACPS fasy  7 2,ACPS fasy ,7,2,0
1139,piab bepe  10 2,piab bepe ,10,2,0
1140,FASY acps  9 2,FASY acps ,9,2,0
1141,FASY abal  5 2,FASY abal ,5,2,0
1142,PIAB pisy  10 1,PIAB pisy ,10,1,0
1143,PIAB abal  10 1,PIAB abal ,10,1,0
1144,PIAB  14 2,PIAB ,14,2,0
1145,ABAL fasy  9 2,ABAL fasy ,9,2,0
1146,FASY qupe  7 2,FASY qupe ,7,2,0
1147,bepe  8 1,bepe ,8,1,0
1148,FASY  3 2,FASY ,3,2,0
1149,fasy qupe  5 1,fasy qupe ,5,1,0
1150,piab lade pisy fasy  9 2,piab lade pisy fasy ,9,2,0
1151,FREX piab  11 1,FREX piab ,11,1,0
1152,PISY fasy  9 2,PISY fasy ,9,2,0
1153,fasy qupe  9 2,fasy qupe ,9,2,0
1154,fasy qupe  5 2,fasy qupe ,5,2,0
1155,fasy qupe  7 2,fasy qupe ,7,2,0
1156,fasy qupe  10 2,fasy qupe ,10,2,0
1157,FASY qupe  6 1,FASY qupe ,6,1,0
1158,FASY piab  3 1,FASY piab ,3,1,0
1159,fasy qupe  6 2,fasy qupe ,6,2,0
1160,fasy qupe  6 1,fasy qupe ,6,1,0
1161,FASY qupe  10 2,FASY qupe ,10,2,0
1162,fasy qupe  9 1,fasy qupe ,9,1,0
1163,piab abal fasy  13 2,piab abal fasy ,13,2,0
1164,FASY quro  9 2,FASY quro ,9,2,0
1165,piab fasy pini  6 1,piab fasy pini ,6,1,0
1166,piab fasy pini  6 2,piab fasy pini ,6,2,0
1167,piab fasy qupe  9 2,piab fasy qupe ,9,2,0
1168,FASY quro  8 1,FASY quro ,8,1,0
1169,FASY quro  8 2,FASY quro ,8,2,0
1170,piab fasy qupe  10 2,piab fasy qupe ,10,2,0
1171,PIAB fasy  14 2,PIAB fasy ,14,2,0
1172,piab fasy  14 2,piab fasy ,14,2,0
1173,fasy pini  6 1,fasy pini ,6,1,0
1174,fasy pini  6 2,fasy pini ,6,2,0
1175,FASY pini  6 2,FASY pini ,6,2,0
1176,FASY pini  5 2,FASY pini ,5,2,0
1177,piab fasy qupe  7 1,piab fasy qupe ,7,1,0
1178,piab fasy qupe  7 2,piab fasy qupe ,7,2,0
1179,piab qupe  9 1,piab qupe ,9,1,0
1180,piab fasy  3 1,piab fasy ,3,1,0
1181,piab fasy qupe  8 2,piab fasy qupe ,8,2,0
1182,piab fasy qupe  11 1,piab fasy qupe ,11,1,0
1183,FASY pini  7 2,FASY pini ,7,2,0
1184,piab fasy qupe  11 2,piab fasy qupe ,11,2,0
1185,fasy pini  7 2,fasy pini ,7,2,0
1186,fasy quro  9 2,fasy quro ,9,2,0
1187,piab fasy quro  10 1,piab fasy quro ,10,1,0
1188,FASY qupe  11 2,FASY qupe ,11,2,0
1189,piab fasy qupe  10 1,piab fasy qupe ,10,1,0
1190,FASY pini  6 1,FASY pini ,6,1,0
1191,abal fasy qupe  8 2,abal fasy qupe ,8,2,0
1192,fasy qupe  11 2,fasy qupe ,11,2,0
1193,piab fasy pini  5 1,piab fasy pini ,5,1,0
1194,piab qupe  10 1,piab qupe ,10,1,0
1195,fasy pini  5 1,fasy pini ,5,1,0
1196,fasy qupe  10 1,fasy qupe ,10,1,0
1197,piab qupe  5 1,piab qupe ,5,1,0
1198,piab qupe  6 1,piab qupe ,6,1,0
1199,piab qupe  10 2,piab qupe ,10,2,0
1200,piab fasy pini  5 2,piab fasy pini ,5,2,0
1201,piab qupe  7 1,piab qupe ,7,1,0
1202,fasy qupe  11 1,fasy qupe ,11,1,0
1203,piab qupe  7 2,piab qupe ,7,2,0
1204,piab qupe  8 2,piab qupe ,8,2,0
1205,fasy pini  5 2,fasy pini ,5,2,0
1206,piab fasy qupe  6 1,piab fasy qupe ,6,1,0
1207,piab qupe  9 2,piab qupe ,9,2,0
1208,QUPE piab  10 2,QUPE piab ,10,2,0
1209,piab fasy qupe  8 1,piab fasy qupe ,8,1,0
1210,piab qupe  11 1,piab qupe ,11,1,0
1211,fasy quro  8 1,fasy quro ,8,1,0
1212,QUPE fasy  8 2,QUPE fasy ,8,2,0
1213,piab fasy qupe  9 1,piab fasy qupe ,9,1,0
1214,piab qupe  11 2,piab qupe ,11,2,0
1215,PIAB qupe  11 1,PIAB qupe ,11,1,0
1216,PIAB qupe  11 2,PIAB qupe ,11,2,0
1217,fasy quro  9 1,fasy quro ,9,1,0
1218,piab fasy quro  12 2,piab fasy quro ,12,2,0
1219,fasy quro  6 2,fasy quro ,6,2,0
1220,QUPE  8 1,QUPE ,8,1,0
1221,PIAB qupe  10 1,PIAB qupe ,10,1,0
1222,piab qupe  8 1,piab qupe ,8,1,0
1223,piab fasy qupe  12 2,piab fasy qupe ,12,2,0
1224,piab quro  9 2,piab quro ,9,2,0
1225,piab fasy pini  7 1,piab fasy pini ,7,1,0
1226,QUPE  8 2,QUPE ,8,2,0
1227,piab fasy pini  7 2,piab fasy pini ,7,2,0
1228,QUPE  9 1,QUPE ,9,1,0
1229,piab fasy pini  8 1,piab fasy pini ,8,1,0
1230,fasy quro qupe  9 2,fasy quro qupe ,9,2,0
1231,fasy qupe pini  7 2,fasy qupe pini ,7,2,0
1232,QUPE  9 2,QUPE ,9,2,0
1233,qupe  9 1,qupe ,9,1,0
1234,quro qupe  9 2,quro qupe ,9,2,0
1235,quro qupe  8 2,quro qupe ,8,2,0
1236,fasy quro qupe  8 2,fasy quro qupe ,8,2,0
1237,FASY qupe  10 1,FASY qupe ,10,1,0
1238,piab qupe  12 2,piab qupe ,12,2,0
1239,QUPE  11 1,QUPE ,11,1,0
1240,QUPE  10 1,QUPE ,10,1,0
1241,QUPE  10 2,QUPE ,10,2,0
1242,PIAB qupe  10 2,PIAB qupe ,10,2,0
1243,qupe  9 2,qupe ,9,2,0
1244,FASY pini  8 2,FASY pini ,8,2,0
1245,fasy pini  8 1,fasy pini ,8,1,0
1246,QUPE  6 1,QUPE ,6,1,0
1247,piab fasy quro  9 2,piab fasy quro ,9,2,0
1248,piab quro qupe  9 2,piab quro qupe ,9,2,0
1249,QUPE fasy  9 2,QUPE fasy ,9,2,0
1250,fasy quro  8 2,fasy quro ,8,2,0
1251,fasy pini  8 2,fasy pini ,8,2,0
1252,fasy pini  9 1,fasy pini ,9,1,0
1253,fasy pini  9 2,fasy pini ,9,2,0
1254,piab fasy pini  9 2,piab fasy pini ,9,2,0
1255,piab quro qupe  9 1,piab quro qupe ,9,1,0
1256,fasy pini  7 1,fasy pini ,7,1,0
1257,piab quro qupe  8 1,piab quro qupe ,8,1,0
1258,piab quro qupe  8 2,piab quro qupe ,8,2,0
1259,quro qupe  8 1,quro qupe ,8,1,0
1260,piab fasy quro qupe  10 2,piab fasy quro qupe ,10,2,0
1261,piab quro qupe  10 2,piab quro qupe ,10,2,0
1262,fasy quro qupe  7 2,fasy quro qupe ,7,2,0
1263,QUPE fasy  7 2,QUPE fasy ,7,2,0
1264,piab fasy quro  10 2,piab fasy quro ,10,2,0
1265,PINI fasy  6 2,PINI fasy ,6,2,0
1266,QUPE  5 2,QUPE ,5,2,0
1267,FASY pini  5 1,FASY pini ,5,1,0
1268,QUPE piab  7 1,QUPE piab ,7,1,0
1269,QUPE piab  7 2,QUPE piab ,7,2,0
1270,QUPE piab  8 2,QUPE piab ,8,2,0
1271,FASY quro  9 1,FASY quro ,9,1,0
1272,QUPE  7 2,QUPE ,7,2,0
1273,QUPE  7 1,QUPE ,7,1,0
1274,PIAB qupe  8 1,PIAB qupe ,8,1,0
1275,PIAB qupe  9 1,PIAB qupe ,9,1,0
1276,PIAB qupe  9 2,PIAB qupe ,9,2,0
1277,FASY quro  7 2,FASY quro ,7,2,0
1278,abal fasy qupe  9 2,abal fasy qupe ,9,2,0
1279,FASY quro  10 2,FASY quro ,10,2,0
1280,fasy pini  10 2,fasy pini ,10,2,0
1281,quro qupe  6 1,quro qupe ,6,1,0
1282,QUPE quro  7 2,QUPE quro ,7,2,0
1283,fasy quro  10 2,fasy quro ,10,2,0
1284,piab fasy quro  9 1,piab fasy quro ,9,1,0
1285,piab fasy quro  8 2,piab fasy quro ,8,2,0
1286,piab quro qupe  10 1,piab quro qupe ,10,1,0
1287,fasy quro  10 1,fasy quro ,10,1,0
1288,QUPE  6 2,QUPE ,6,2,0
1289,qupe  6 2,qupe ,6,2,0
1290,piab fasy pini  9 1,piab fasy pini ,9,1,0
1291,qupe  7 2,qupe ,7,2,0
1292,quro qupe  10 2,quro qupe ,10,2,0
1293,QUPE pini  7 2,QUPE pini ,7,2,0
1294,piab quro  8 2,piab quro ,8,2,0
1295,qupe pini  7 2,qupe pini ,7,2,0
1296,qupe pini  6 2,qupe pini ,6,2,0
1297,piab quro  8 1,piab quro ,8,1,0
1298,qupe  10 2,qupe ,10,2,0
1299,qupe  8 2,qupe ,8,2,0
1300,quro qupe  6 2,quro qupe ,6,2,0
1301,piab fasy quro  11 2,piab fasy quro ,11,2,0
1302,fasy qupe  12 2,fasy qupe ,12,2,0
1303,piab quro  10 2,piab quro ,10,2,0
1304,quro qupe  11 2,quro qupe ,11,2,0
1305,piab fasy qupe  12 1,piab fasy qupe ,12,1,0
1306,piab quro qupe  11 2,piab quro qupe ,11,2,0
1307,fasy quro qupe  11 2,fasy quro qupe ,11,2,0
1308,QURO  10 2,QURO ,10,2,0
1309,piab qupe  12 1,piab qupe ,12,1,0
1310,piab quro qupe  12 2,piab quro qupe ,12,2,0
1311,fasy qupe  13 2,fasy qupe ,13,2,0
1312,PIAB qupe  12 2,PIAB qupe ,12,2,0
1313,QUPE quro  9 2,QUPE quro ,9,2,0
1314,piab qupe  13 2,piab qupe ,13,2,0
1315,PIAB qupe  13 2,PIAB qupe ,13,2,0
1316,piab quro  12 2,piab quro ,12,2,0
1317,QUPE quro  10 2,QUPE quro ,10,2,0
1318,piab fasy qupe  13 2,piab fasy qupe ,13,2,0
1319,quro qupe  7 2,quro qupe ,7,2,0
1320,QUPE piab  11 2,QUPE piab ,11,2,0
1321,piab pini  8 1,piab pini ,8,1,0
1322,qupe  11 2,qupe ,11,2,0
1323,quro qupe  7 1,quro qupe ,7,1,0
1324,piab pini  8 2,piab pini ,8,2,0
1325,piab quro  11 2,piab quro ,11,2,0
1326,piab quro qupe  13 2,piab quro qupe ,13,2,0
1327,qupe  13 2,qupe ,13,2,0
1328,qupe  12 2,qupe ,12,2,0
1329,fasy quro qupe  10 2,fasy quro qupe ,10,2,0
1330,QUPE  12 2,QUPE ,12,2,0
1331,QUPE  11 2,QUPE ,11,2,0
1332,qupe pini  8 2,qupe pini ,8,2,0
1333,QUPE piab  8 1,QUPE piab ,8,1,0
1334,QUPE  13 2,QUPE ,13,2,0
1335,piab qupe pini  6 2,piab qupe pini ,6,2,0
1336,QUPE piab  9 2,QUPE piab ,9,2,0
1337,QUPE piab  9 1,QUPE piab ,9,1,0
1338,QUPE piab  12 2,QUPE piab ,12,2,0
1339,QUPE quro  11 2,QUPE quro ,11,2,0
1340,piab qupe  6 2,piab qupe ,6,2,0
1341,QUPE fasy  10 2,QUPE fasy ,10,2,0
1342,QUPE  5 1,QUPE ,5,1,0
1343,piab pini  9 1,piab pini ,9,1,0
1344,piab qupe pini  7 2,piab qupe pini ,7,2,0
