stateId	unique.str	composition	structure	fct	n	type	color
996	piab lade fasy frex  9 2	piab lade fasy frex 	9	2	25		#c0c0c0
997	FASY frex  8 2	FASY frex 	8	2	44		#c0c0c0
998	pisy fasy  10 2	pisy fasy 	10	2	276		#a86e06
999	piab lade  11 2	piab lade 	11	2	2878		#687022
1000	fasy  5 2	fasy 	5	2	81		#b4d884
1001	FASY pisy  9 1	FASY pisy 	9	1	28		#c0c0c0
1002	lade fasy frex  8 2	lade fasy frex 	8	2	86		#c0c0c0
1003	piab fasy bepe  10 1	piab fasy bepe 	10	1	22		#c0c0c0
1004	PIAB acps  8 1	PIAB acps 	8	1	23		#c0c0c0
1005	piab bepe  9 2	piab bepe 	9	2	22		#c0c0c0
1006	FREX  10 1	FREX 	10	1	24		#c0c0c0
1007	lade frex  9 2	lade frex 	9	2	117		#c0c0c0
1008	PIAB bepe  10 2	PIAB bepe 	10	2	22		#c0c0c0
1009	lade fasy frex  10 2	lade fasy frex 	10	2	44		#c0c0c0
1010	PIAB frex  6 2	PIAB frex 	6	2	33		#c0c0c0
1011	piab pisy fasy  10 2	piab pisy fasy 	10	2	2166		#754d07
1012	lade frex  7 2	lade frex 	7	2	27		#c0c0c0
1013	piab lade frex  8 2	piab lade frex 	8	2	26		#c0c0c0
1014	acps  8 1	acps 	8	1	16		#c0c0c0
1015	FASY  11 2	FASY 	11	2	121796		#ade268
1016	fasy  4 2	fasy 	4	2	18		#b4d884
1017	FASY pisy  8 2	FASY pisy 	8	2	579		#c0c0c0
1018	FASY piab  11 1	FASY piab 	11	1	241		#629e31
1019	PISY piab  8 2	PISY piab 	8	2	86		#c0c0c0
1020	piab abal fasy  11 2	piab abal fasy 	11	2	2369		#488c59
1021	LADE  8 2	LADE 	8	2	268		yellow
1022	lade  8 2	lade 	8	2	136		#c0c0c0
1023	piab lade frex  10 2	piab lade frex 	10	2	148		#c0c0c0
1024	piab fasy  12 2	piab fasy 	12	2	84637		#43a55c
1025	fasy acps  10 2	fasy acps 	10	2	104		#c0c0c0
1026	PISY piab  9 2	PISY piab 	9	2	53		#c0c0c0
1027	FREX piab  10 1	FREX piab 	10	1	65		#c0c0c0
1028	piab bepe  11 1	piab bepe 	11	1	16		#c0c0c0
1029	PIAB  12 2	PIAB 	12	2	202267		#256d37
1030	FREX piab  6 0	FREX piab 	6	0	52		#c0c0c0
1031	PISY  8 2	PISY 	8	2	300		#c0c0c0
1032	LADE  10 2	LADE 	10	2	149		yellow
1033	lade frex  8 2	lade frex 	8	2	76		#c0c0c0
1034	PIAB abal  9 1	PIAB abal 	9	1	56		#c0c0c0
1035	PISY piab  9 1	PISY piab 	9	1	36		#c0c0c0
1036	FASY pisy  9 2	FASY pisy 	9	2	486		#c0c0c0
1037	lade  9 2	lade 	9	2	222		#c0c0c0
1038	piab acps  10 2	piab acps 	10	2	39		#c0c0c0
1039	LADE piab  10 2	LADE piab 	10	2	247		#c0c0c0
1040	lade frex  10 2	lade frex 	10	2	63		#c0c0c0
1041	FASY acps  10 2	FASY acps 	10	2	19		#c0c0c0
1042	PIAB frex  6 0	PIAB frex 	6	0	47		#c0c0c0
1043	FREX fasy  4 1	FREX fasy 	4	1	27		#c0c0c0
1044	piab abal lade fasy  9 2	piab abal lade fasy 	9	2	52		#c0c0c0
1045	piab lade  12 2	piab lade 	12	2	159		#687022
1046	PISY  9 1	PISY 	9	1	114		#c0c0c0
1047	pisy  9 2	pisy 	9	2	191		#c0c0c0
1048	piab abal lade  10 2	piab abal lade 	10	2	52		#c0c0c0
1049	fasy frex  5 2	fasy frex 	5	2	82		#c0c0c0
1050	FASY frex  9 2	FASY frex 	9	2	37		#c0c0c0
1051	lade  10 2	lade 	10	2	145		#c0c0c0
1052	FREX piab  6 1	FREX piab 	6	1	35		#c0c0c0
1053	LADE piab  11 1	LADE piab 	11	1	24		#c0c0c0
1054	FASY abal  10 2	FASY abal 	10	2	2523		#c0c0c0
1055	piab lade fasy frex  10 2	piab lade fasy frex 	10	2	44		#c0c0c0
1056	FASY  11 0	FASY 	11	0	34		#ade268
1057	lade  11 2	lade 	11	2	20		#c0c0c0
1058	abal frex  9 1	abal frex 	9	1	13		#c0c0c0
1059	fasy frex  7 2	fasy frex 	7	2	68		#c0c0c0
1060	FREX  4 2	FREX 	4	2	9		#c0c0c0
1061	frex  9 2	frex 	9	2	19		#c0c0c0
1062	PIAB fasy  12 2	PIAB fasy 	12	2	54974		#308245
1063	LADE  9 2	LADE 	9	2	241		yellow
1064	PIAB acps  10 2	PIAB acps 	10	2	26		#c0c0c0
1065	fasy frex  4 2	fasy frex 	4	2	58		#c0c0c0
1066	PIAB  12 1	PIAB 	12	1	4483		#256d37
1067	ABAL fasy  8 2	ABAL fasy 	8	2	30		#c0c0c0
1068	PIAB lade  12 2	PIAB lade 	12	2	143		#687022
1069	PIAB abal  11 2	PIAB abal 	11	2	401		#c0c0c0
1070	FASY  12 2	FASY 	12	2	10747		#ade268
1071	PISY  9 2	PISY 	9	2	78		#c0c0c0
1072	abal fasy  11 2	abal fasy 	11	2	979		darkgrey
1073	lade fasy  11 2	lade fasy 	11	2	70		#ada845
1074	lade pisy fasy  9 2	lade pisy fasy 	9	2	46		#c0c0c0
1075	FASY frex  5 2	FASY frex 	5	2	23		#c0c0c0
1076	lade pisy  9 2	lade pisy 	9	2	168		#c0c0c0
1077	PISY fasy  8 2	PISY fasy 	8	2	48		#c0c0c0
1078	abal  10 2	abal 	10	2	22		#c0c0c0
1079	lade  7 2	lade 	7	2	34		#c0c0c0
1080	FASY  4 2	FASY 	4	2	2450		#ade268
1081	piab fasy acps  10 2	piab fasy acps 	10	2	64		#c0c0c0
1082	piab lade fasy  12 2	piab lade fasy 	12	2	52		#9ead18
1083	PIAB pisy  10 2	PIAB pisy 	10	2	899		#c0c0c0
1084	FASY frex  6 2	FASY frex 	6	2	17		#c0c0c0
1085	LADE piab  11 2	LADE piab 	11	2	36		#c0c0c0
1086	piab abal  12 2	piab abal 	12	2	203		#c0c0c0
1087	piab lade pisy fasy  8 2	piab lade pisy fasy 	8	2	35		#c0c0c0
1088	FASY pisy  10 2	FASY pisy 	10	2	26		#c0c0c0
1089	fasy frex  6 2	fasy frex 	6	2	65		#c0c0c0
1090	FASY abal  11 2	FASY abal 	11	2	798		#c0c0c0
1091	PIAB  13 2	PIAB 	13	2	29189		#256d37
1092	PIAB  13 1	PIAB 	13	1	505		#256d37
1093	piab pisy  11 2	piab pisy 	11	2	130		#825a12
1094	piab pisy fasy  11 2	piab pisy fasy 	11	2	41		#754d07
1095	PIAB pisy  11 2	PIAB pisy 	11	2	69		#c0c0c0
1096	PIAB fasy  12 1	PIAB fasy 	12	1	341		#308245
1097	FASY pisy  7 2	FASY pisy 	7	2	53		#c0c0c0
1098	piab abal fasy  12 2	piab abal fasy 	12	2	727		#488c59
1099	PIAB abal  12 2	PIAB abal 	12	2	80		#c0c0c0
1100	PIAB fasy  13 2	PIAB fasy 	13	2	6865		#308245
1101	piab abal fasy  11 1	piab abal fasy 	11	1	26		#488c59
1102	FASY piab  12 2	FASY piab 	12	2	15064		#629e31
1103	piab fasy  13 1	piab fasy 	13	1	73		#43a55c
1104	piab fasy  13 2	piab fasy 	13	2	6973		#43a55c
1105	FASY qupe  5 1	FASY qupe 	5	1	18		#c0c0c0
1106	FASY qupe  5 2	FASY qupe 	5	2	42		#c0c0c0
1107	fasy  12 2	fasy 	12	2	202		#b4d884
1108	FASY abal  10 1	FASY abal 	10	1	53		#c0c0c0
1109	FASY qupe  6 2	FASY qupe 	6	2	141		#c0c0c0
1110	PIAB  12 0	PIAB 	12	0	29		#256d37
1111	FASY abal  11 1	FASY abal 	11	1	22		#c0c0c0
1112	FASY piab  4 2	FASY piab 	4	2	782		#629e31
1113	FASY piab  13 2	FASY piab 	13	2	609		#629e31
1114	piab abal fasy  12 1	piab abal fasy 	12	1	41		#488c59
1115	FASY  13 2	FASY 	13	2	157		#ade268
1116	PIAB fasy  13 1	PIAB fasy 	13	1	41		#308245
1117	FASY  12 1	FASY 	12	1	39		#ade268
1118	FASY piab  12 1	FASY piab 	12	1	35		#629e31
1119	abal fasy  12 2	abal fasy 	12	2	150		darkgrey
1120	FASY qupe  8 1	FASY qupe 	8	1	97		#c0c0c0
1121	FASY qupe  8 2	FASY qupe 	8	2	4117		#c0c0c0
1122	fasy qupe  8 1	fasy qupe 	8	1	405		#c0c0c0
1123	fasy qupe  8 2	fasy qupe 	8	2	7975		#c0c0c0
1124	FASY qupe  9 2	FASY qupe 	9	2	7196		#c0c0c0
1125	FASY qupe  9 1	FASY qupe 	9	1	109		#c0c0c0
1126	FASY qupe  7 1	FASY qupe 	7	1	60		#c0c0c0
1127	fasy qupe  7 1	fasy qupe 	7	1	205		#c0c0c0
1128	piab abal  12 1	piab abal 	12	1	24		#c0c0c0
1129	piab  13 2	piab 	13	2	142		#256d37
1130	FASY abal  12 2	FASY abal 	12	2	112		#c0c0c0
1131	PISY  3 2	PISY 	3	2	21		#c0c0c0
1132	piab abal lade fasy  7 2	piab abal lade fasy 	7	2	20		#c0c0c0
1133	FREX piab  9 0	FREX piab 	9	0	14		#c0c0c0
1134	fasy  2 0	fasy 	2	0	27		#b4d884
1135	lade  2 0	lade 	2	0	43		#c0c0c0
1136	lade  3 0	lade 	3	0	27		#c0c0c0
1137	lade  4 0	lade 	4	0	15		#c0c0c0
1138	ACPS fasy  7 2	ACPS fasy 	7	2	17		#c0c0c0
1139	piab bepe  10 2	piab bepe 	10	2	23		#c0c0c0
1140	FASY acps  9 2	FASY acps 	9	2	27		#c0c0c0
1141	FASY abal  5 2	FASY abal 	5	2	21		#c0c0c0
1142	PIAB pisy  10 1	PIAB pisy 	10	1	20		#c0c0c0
1143	PIAB abal  10 1	PIAB abal 	10	1	23		#c0c0c0
1144	PIAB  14 2	PIAB 	14	2	296		#256d37
1145	ABAL fasy  9 2	ABAL fasy 	9	2	24		#c0c0c0
1146	FASY qupe  7 2	FASY qupe 	7	2	598		#c0c0c0
1147	bepe  8 1	bepe 	8	1	15		#c0c0c0
1148	FASY  3 2	FASY 	3	2	116		#ade268
1149	fasy qupe  5 1	fasy qupe 	5	1	27		#c0c0c0
1150	piab lade pisy fasy  9 2	piab lade pisy fasy 	9	2	30		#c0c0c0
1151	FREX piab  11 1	FREX piab 	11	1	18		#c0c0c0
1152	PISY fasy  9 2	PISY fasy 	9	2	20		#c0c0c0
1153	fasy qupe  9 2	fasy qupe 	9	2	24455		#c0c0c0
1154	fasy qupe  5 2	fasy qupe 	5	2	52		#c0c0c0
1155	fasy qupe  7 2	fasy qupe 	7	2	1051		#c0c0c0
1156	fasy qupe  10 2	fasy qupe 	10	2	10220		#c0c0c0
1157	FASY qupe  6 1	FASY qupe 	6	1	38		#c0c0c0
1158	FASY piab  3 1	FASY piab 	3	1	25		#629e31
1159	fasy qupe  6 2	fasy qupe 	6	2	160		#c0c0c0
1160	fasy qupe  6 1	fasy qupe 	6	1	64		#c0c0c0
1161	FASY qupe  10 2	FASY qupe 	10	2	1400		#c0c0c0
1162	fasy qupe  9 1	fasy qupe 	9	1	498		#c0c0c0
1163	piab abal fasy  13 2	piab abal fasy 	13	2	89		#488c59
1164	FASY quro  9 2	FASY quro 	9	2	60		#c0c0c0
1165	piab fasy pini  6 1	piab fasy pini 	6	1	188		#c0c0c0
1166	piab fasy pini  6 2	piab fasy pini 	6	2	194		#c0c0c0
1167	piab fasy qupe  9 2	piab fasy qupe 	9	2	20375		#c0c0c0
1168	FASY quro  8 1	FASY quro 	8	1	14		#c0c0c0
1169	FASY quro  8 2	FASY quro 	8	2	73		#c0c0c0
1170	piab fasy qupe  10 2	piab fasy qupe 	10	2	24711		#c0c0c0
1171	PIAB fasy  14 2	PIAB fasy 	14	2	36		#308245
1172	piab fasy  14 2	piab fasy 	14	2	29		#43a55c
1173	fasy pini  6 1	fasy pini 	6	1	129		#c0c0c0
1174	fasy pini  6 2	fasy pini 	6	2	392		#c0c0c0
1175	FASY pini  6 2	FASY pini 	6	2	340		#c0c0c0
1176	FASY pini  5 2	FASY pini 	5	2	30		#c0c0c0
1177	piab fasy qupe  7 1	piab fasy qupe 	7	1	99		#c0c0c0
1178	piab fasy qupe  7 2	piab fasy qupe 	7	2	241		#c0c0c0
1179	piab qupe  9 1	piab qupe 	9	1	1316		#933910
1180	piab fasy  3 1	piab fasy 	3	1	138		#43a55c
1181	piab fasy qupe  8 2	piab fasy qupe 	8	2	4910		#c0c0c0
1182	piab fasy qupe  11 1	piab fasy qupe 	11	1	82		#c0c0c0
1183	FASY pini  7 2	FASY pini 	7	2	197		#c0c0c0
1184	piab fasy qupe  11 2	piab fasy qupe 	11	2	6934		#c0c0c0
1185	fasy pini  7 2	fasy pini 	7	2	1070		#c0c0c0
1186	fasy quro  9 2	fasy quro 	9	2	117		#c0c0c0
1187	piab fasy quro  10 1	piab fasy quro 	10	1	22		#c0c0c0
1188	FASY qupe  11 2	FASY qupe 	11	2	30		#c0c0c0
1189	piab fasy qupe  10 1	piab fasy qupe 	10	1	245		#c0c0c0
1190	FASY pini  6 1	FASY pini 	6	1	29		#c0c0c0
1191	abal fasy qupe  8 2	abal fasy qupe 	8	2	15		#c0c0c0
1192	fasy qupe  11 2	fasy qupe 	11	2	1101		#c0c0c0
1193	piab fasy pini  5 1	piab fasy pini 	5	1	60		#c0c0c0
1194	piab qupe  10 1	piab qupe 	10	1	627		#933910
1195	fasy pini  5 1	fasy pini 	5	1	81		#c0c0c0
1196	fasy qupe  10 1	fasy qupe 	10	1	253		#c0c0c0
1197	piab qupe  5 1	piab qupe 	5	1	23		#933910
1198	piab qupe  6 1	piab qupe 	6	1	42		#933910
1199	piab qupe  10 2	piab qupe 	10	2	49474		#933910
1200	piab fasy pini  5 2	piab fasy pini 	5	2	43		#c0c0c0
1201	piab qupe  7 1	piab qupe 	7	1	334		#933910
1202	fasy qupe  11 1	fasy qupe 	11	1	43		#c0c0c0
1203	piab qupe  7 2	piab qupe 	7	2	800		#933910
1204	piab qupe  8 2	piab qupe 	8	2	11411		#933910
1205	fasy pini  5 2	fasy pini 	5	2	146		#c0c0c0
1206	piab fasy qupe  6 1	piab fasy qupe 	6	1	18		#c0c0c0
1207	piab qupe  9 2	piab qupe 	9	2	38801		#933910
1208	QUPE piab  10 2	QUPE piab 	10	2	7069		#c0c0c0
1209	piab fasy qupe  8 1	piab fasy qupe 	8	1	470		#c0c0c0
1210	piab qupe  11 1	piab qupe 	11	1	220		#933910
1211	fasy quro  8 1	fasy quro 	8	1	23		#c0c0c0
1212	QUPE fasy  8 2	QUPE fasy 	8	2	56		#c0c0c0
1213	piab fasy qupe  9 1	piab fasy qupe 	9	1	531		#c0c0c0
1214	piab qupe  11 2	piab qupe 	11	2	24449		#933910
1215	PIAB qupe  11 1	PIAB qupe 	11	1	50		#c0c0c0
1216	PIAB qupe  11 2	PIAB qupe 	11	2	5431		#c0c0c0
1217	fasy quro  9 1	fasy quro 	9	1	40		#c0c0c0
1218	piab fasy quro  12 2	piab fasy quro 	12	2	28		#c0c0c0
1219	fasy quro  6 2	fasy quro 	6	2	17		#c0c0c0
1220	QUPE  8 1	QUPE 	8	1	234		#c0c0c0
1221	PIAB qupe  10 1	PIAB qupe 	10	1	184		#c0c0c0
1222	piab qupe  8 1	piab qupe 	8	1	1108		#933910
1223	piab fasy qupe  12 2	piab fasy qupe 	12	2	1267		#c0c0c0
1224	piab quro  9 2	piab quro 	9	2	40		#c0c0c0
1225	piab fasy pini  7 1	piab fasy pini 	7	1	387		#c0c0c0
1226	QUPE  8 2	QUPE 	8	2	3870		#c0c0c0
1227	piab fasy pini  7 2	piab fasy pini 	7	2	1210		#c0c0c0
1228	QUPE  9 1	QUPE 	9	1	192		#c0c0c0
1229	piab fasy pini  8 1	piab fasy pini 	8	1	350		#c0c0c0
1230	fasy quro qupe  9 2	fasy quro qupe 	9	2	34		#c0c0c0
1231	fasy qupe pini  7 2	fasy qupe pini 	7	2	82		#c0c0c0
1232	QUPE  9 2	QUPE 	9	2	9425		#c0c0c0
1233	qupe  9 1	qupe 	9	1	28		#c0c0c0
1234	quro qupe  9 2	quro qupe 	9	2	67		#c0c0c0
1235	quro qupe  8 2	quro qupe 	8	2	148		#c0c0c0
1236	fasy quro qupe  8 2	fasy quro qupe 	8	2	36		#c0c0c0
1237	FASY qupe  10 1	FASY qupe 	10	1	47		#c0c0c0
1238	piab qupe  12 2	piab qupe 	12	2	6735		#933910
1239	QUPE  11 1	QUPE 	11	1	42		#c0c0c0
1240	QUPE  10 1	QUPE 	10	1	161		#c0c0c0
1241	QUPE  10 2	QUPE 	10	2	9449		#c0c0c0
1242	PIAB qupe  10 2	PIAB qupe 	10	2	3510		#c0c0c0
1243	qupe  9 2	qupe 	9	2	2024		#c0c0c0
1244	FASY pini  8 2	FASY pini 	8	2	219		#c0c0c0
1245	fasy pini  8 1	fasy pini 	8	1	109		#c0c0c0
1246	QUPE  6 1	QUPE 	6	1	83		#c0c0c0
1247	piab fasy quro  9 2	piab fasy quro 	9	2	53		#c0c0c0
1248	piab quro qupe  9 2	piab quro qupe 	9	2	110		#c0c0c0
1249	QUPE fasy  9 2	QUPE fasy 	9	2	133		#c0c0c0
1250	fasy quro  8 2	fasy quro 	8	2	42		#c0c0c0
1251	fasy pini  8 2	fasy pini 	8	2	1975		#c0c0c0
1252	fasy pini  9 1	fasy pini 	9	1	131		#c0c0c0
1253	fasy pini  9 2	fasy pini 	9	2	778		#c0c0c0
1254	piab fasy pini  9 2	piab fasy pini 	9	2	1090		#c0c0c0
1255	piab quro qupe  9 1	piab quro qupe 	9	1	25		#c0c0c0
1256	fasy pini  7 1	fasy pini 	7	1	113		#c0c0c0
