stateId	unique.str	composition	structure	fct	n
395	PIAB lade  10 1	PIAB lade 	10	1	434
396	piab  10 2	piab 	10	2	6231
397	piab lade pisy  6 2	piab lade pisy 	6	2	162
398	lade pisy  6 2	lade pisy 	6	2	47
399	piab lade pisy  5 1	piab lade pisy 	5	1	68
400	piab lade pisy  6 1	piab lade pisy 	6	1	604
401	piab lade pisy  8 1	piab lade pisy 	8	1	916
402	piab bepe  6 0	piab bepe 	6	0	123
403	lade bepe  8 0	lade bepe 	8	0	72
404	PIAB lade  6 2	PIAB lade 	6	2	346
405	PIAB fasy  5 1	PIAB fasy 	5	1	1238
406	piab abal fasy  10 1	piab abal fasy 	10	1	290
407	lade pisy  5 1	lade pisy 	5	1	188
408	piab pisy  7 0	piab pisy 	7	0	100
409	pisy  7 0	pisy 	7	0	47
410	lade pisy fasy  7 0	lade pisy fasy 	7	0	20
411	BEPE  4 0	BEPE 	4	0	66
412	LADE bepe  7 0	LADE bepe 	7	0	66
413	lade bepe  6 0	lade bepe 	6	0	101
414	PIAB  4 1	PIAB 	4	1	267
415	piab abal lade fasy  8 2	piab abal lade fasy 	8	2	95
416	lade pisy  5 0	lade pisy 	5	0	41
417	PIAB pisy  7 1	PIAB pisy 	7	1	130
418	BEPE  2 0	BEPE 	2	0	165
419	LADE bepe  6 0	LADE bepe 	6	0	19
420	LADE  3 0	LADE 	3	0	133
421	piab fasy frex  5 1	piab fasy frex 	5	1	71
422	piab abal lade  9 2	piab abal lade 	9	2	177
423	piab abal lade  7 1	piab abal lade 	7	1	216
424	piab pisy  9 1	piab pisy 	9	1	744
425	PIAB pisy  6 1	PIAB pisy 	6	1	43
426	FREX  4 0	FREX 	4	0	544
427	LADE piab  6 1	LADE piab 	6	1	163
428	piab  10 1	piab 	10	1	704
429	FASY piab  7 0	FASY piab 	7	0	286
430	fasy acps  6 0	fasy acps 	6	0	92
431	piab lade  4 0	piab lade 	4	0	106
432	piab lade pisy  9 1	piab lade pisy 	9	1	261
433	PIAB abal  10 2	PIAB abal 	10	2	626
434	piab lade pisy  7 0	piab lade pisy 	7	0	28
435	piab lade pisy  10 1	piab lade pisy 	10	1	25
436	lade pisy fasy  8 1	lade pisy fasy 	8	1	183
437	BEPE  5 0	BEPE 	5	0	76
438	LADE fasy  8 0	LADE fasy 	8	0	110
439	piab lade pisy  6 0	piab lade pisy 	6	0	28
440	BEPE  6 0	BEPE 	6	0	84
441	LADE fasy  6 0	LADE fasy 	6	0	58
442	piab acps  6 0	piab acps 	6	0	58
443	abal fasy  5 0	abal fasy 	5	0	29
444	FASY lade  7 0	FASY lade 	7	0	115
445	lade pisy  7 0	lade pisy 	7	0	195
446	PIAB lade  5 1	PIAB lade 	5	1	105
447	PIAB lade  9 1	PIAB lade 	9	1	2149
448	abal fasy  4 0	abal fasy 	4	0	21
449	abal lade  6 1	abal lade 	6	1	53
450	piab abal lade fasy  6 1	piab abal lade fasy 	6	1	43
451	FASY lade  6 0	FASY lade 	6	0	40
452	piab abal  6 1	piab abal 	6	1	110
453	piab abal lade  6 1	piab abal lade 	6	1	49
454	LADE piab  6 2	LADE piab 	6	2	28
455	piab acps  7 0	piab acps 	7	0	63
456	PIAB acps  7 0	PIAB acps 	7	0	17
457	abal lade  7 1	abal lade 	7	1	130
458	piab lade pisy fasy  7 1	piab lade pisy fasy 	7	1	27
459	BEPE piab  4 0	BEPE piab 	4	0	17
460	lade fasy bepe  5 0	lade fasy bepe 	5	0	17
461	lade bepe  5 0	lade bepe 	5	0	39
462	fasy alin  5 0	fasy alin 	5	0	18
463	LADE frex  3 0	LADE frex 	3	0	14
464	piab abal lade fasy  7 1	piab abal lade fasy 	7	1	136
465	lade pisy  9 1	lade pisy 	9	1	233
466	lade bepe  4 0	lade bepe 	4	0	20
467	FASY abal  8 1	FASY abal 	8	1	305
468	PIAB fasy  4 0	PIAB fasy 	4	0	32
469	piab abal lade fasy  8 1	piab abal lade fasy 	8	1	75
470	piab lade fasy  8 0	piab lade fasy 	8	0	425
471	PIAB lade  9 2	PIAB lade 	9	2	4410
472	LADE fasy  9 0	LADE fasy 	9	0	30
473	FASY  5 2	FASY 	5	2	36814
474	piab pisy fasy  8 0	piab pisy fasy 	8	0	24
475	piab abal fasy  7 2	piab abal fasy 	7	2	548
476	piab lade frex  6 0	piab lade frex 	6	0	29
477	FASY piab  10 0	FASY piab 	10	0	17
478	fasy  9 0	fasy 	9	0	231
479	piab abal pisy  7 1	piab abal pisy 	7	1	20
480	lade frex  9 0	lade frex 	9	0	78
481	PISY fasy  8 1	PISY fasy 	8	1	149
482	FASY frex  3 0	FASY frex 	3	0	20
483	LADE  7 2	LADE 	7	2	82
484	LADE  9 1	LADE 	9	1	1254
