id,model.climate.tableName,model.site.soilDepth,model.site.availableNitrogen
11859,95,24.88,53.7909094147293
11860,79,19.65,52.3992944029271
11861,79,19.99,55.8359815176989
11862,79,18.8,55.8359815176989
11863,79,21.17,55.4886797156303
11864,79,21.68,55.4886797156303
11865,79,18.46,55.4886797156303
11866,79,17.96,55.8359815176989
11867,95,19.31,55.8359815176989
11868,95,19.48,52.7863620530372
11869,95,18.29,52.7863620530372
11870,95,19.65,52.7863620530372
11871,95,18.8,52.7863620530372
11872,97,18.97,52.7863620530372
11873,97,17.96,54.6588763556874
11874,148,19.31,54.6588763556874
11875,148,18.13,54.6588763556874
11876,148,17.11,54.6588763556874
11877,148,12.75,54.6588763556874
11878,148,17.15,54.6588763556874
11879,97,18.8,52.7863620530372
11880,155,17.96,52.7863620530372
11881,155,17.28,55.8359815176989
11882,155,16.77,59.0483297579334
11883,133,17.96,52.3992944029271
11884,133,17.28,59.0483297579334
11885,133,21.68,53.3899092886213
11886,133,25.98,54.4209799771911
11887,153,14.93,52.8365179843771
11888,153,17.13,54.6484534524181
11889,153,33.52,54.4209799771911
11890,156,34.87,54.1256824715974
11891,156,14.26,55.4886797156303
11892,156,15.61,55.8359815176989
11893,156,15.78,51.9255706602624
11894,156,19.48,55.8359815176989
11895,149,11.45,51.0625020454319
11896,149,12.8,56.578824507721
11897,149,6.58,55.4886797156303
11898,149,9.59,55.4886797156303
11899,149,12.29,55.4886797156303
11900,150,10.77,56.578824507721
11901,150,18.75,51.0625020454319
11902,150,10.94,56.578824507721
11903,150,9.76,53.6104064817217
11904,150,9.76,53.6104064817217
11905,150,4.72,53.6104064817217
11906,157,11.28,53.6104064817217
11907,158,11.62,53.6104064817217
11908,158,10.6,51.9666672597476
11909,158,10.77,54.3745350677331
11910,158,11.62,51.9666672597476
11911,158,10.94,52.5489831484312
11912,158,5.9,53.6104064817217
11913,158,9.76,53.6104064817217
11914,158,12.8,51.9666672597476
11915,158,11.28,51.9666672597476
11916,159,10.77,51.9666672597476
11917,159,12.12,51.9666672597476
11918,159,10.6,53.1046035105106
11919,159,10.94,53.8177210550257
11920,159,10.77,53.0828832158492
11921,159,10.1,53.0828832158492
11922,159,17.23,53.0828832158492
11923,159,11.62,53.0828832158492
11924,159,11.95,53.0828832158492
11925,159,11.28,53.0828832158492
11926,159,10.94,53.0828832158492
11927,152,11.79,53.0828832158492
11928,152,11.45,53.0828832158492
11929,141,12.46,53.0828832158492
11930,141,14.32,53.0828832158492
11931,141,15.17,53.0828832158492
11932,141,14.49,55.1160613959976
11933,141,14.49,53.118412877158
11934,141,13.98,53.118412877158
11935,141,13.81,45.3076179319551
11936,141,13.48,53.118412877158
11937,147,12.97,53.5572081808838
11938,147,13.31,44.352299403186
11939,101,13.81,48.0889528152101
11940,101,11.28,53.5572081808838
11941,101,7.93,48.0889528152101
11942,101,14.66,45.3076179319551
11943,101,15,53.5572081808838
11944,101,13.81,48.0889528152101
11945,101,14.66,53.5572081808838
11946,101,13.31,53.5572081808838
11947,101,6.24,44.352299403186
11948,142,5.06,53.5572081808838
11949,142,12.97,53.5572081808838
11950,142,12.8,53.5572081808838
11951,142,13.31,55.1160613959976
11952,142,12.8,53.118412877158
11953,160,6.41,51.8264366731325
11954,160,11.28,51.8264366731325
11955,161,11.11,51.7409468030251
11956,162,11.45,51.7409468030251
11957,162,10.43,53.6104064817217
11958,135,9.25,56.578824507721
11959,135,12.63,56.578824507721
11960,135,23.62,56.578824507721
11961,109,10.1,53.6104064817217
11962,115,12.12,54.3745350677331
11963,115,18.97,52.5489831484312
11964,115,19.82,52.5489831484312
11965,115,34.83,57.8036709907498
11966,115,15.61,54.493417002876
11967,115,22.94,51.8264366731325
11968,115,23.28,53.1046035105106
11969,115,12.63,51.8264366731325
11970,115,11.79,45.3076179319551
11971,144,12.12,45.3076179319551
11972,144,12.97,55.1160613959976
11973,144,12.63,55.1160613959976
11974,144,12.46,53.5572081808838
11975,144,12.12,53.5572081808838
11976,144,11.62,53.5572081808838
11977,144,12.46,53.5572081808838
