year,x,y,max_size,windspeed,winddirection
1,585327.812716261,4783453.92809347,4723,22.6516936998814,184.575663213618
1,548627.812716261,4795953.92809347,6214,12.1160864736885,269.881243330892
1,530327.812716261,4786253.92809347,1170,20.058498182334,252.308739088476
1,529627.812716261,4780653.92809347,1000,24.4814085401595,222.563251687679
1,520627.812716261,4880853.92809347,11536,17.6895566377789,266.661505631637
1,572927.812716261,4904053.92809347,1354,28.649770221673,187.601288901642
2,502927.812716261,4761453.92809347,879,25.6307720532641,233.960599824786
3,500327.812716261,4783453.92809347,2596,23.4996812138706,196.068923582789
3,552927.812716261,4790453.92809347,2548,26.4100182102993,223.418056801893
3,480627.812716261,4909053.92809347,85738,17.522367509082,209.172896293458
3,492227.812716261,4790453.92809347,6916,14.5303186913952,243.267343584448
4,600127.812716261,4760853.92809347,615,20.202073645778,210.127864710521
4,527827.812716261,4806153.92809347,1227,24.2311428626999,263.405743560288
4,504427.812716261,4864553.92809347,5006,16.0956384288147,186.988653859589
4,556027.812716261,4914953.92809347,1014,24.406741685234,263.530308280606
4,550527.812716261,4817953.92809347,959,13.2545955758542,193.155817212537
6,473727.812716261,4950353.92809347,612,21.6601166175678,220.316194749903
6,569727.812716261,4974053.92809347,697,19.3547858577222,234.020183191169
7,537827.812716261,4787153.92809347,63666,18.4156314330176,223.804988334887
7,511727.812716261,4708553.92809347,428,15.9967419411987,215.65072872676
7,465727.812716261,4723553.92809347,2065,26.0406387317926,250.747655828018
7,499727.812716261,4827853.92809347,590,13.1708544306457,252.155296679121
7,571227.812716261,5023753.92809347,432,19.0400023804978,201.955780587159
8,506427.812716261,4779353.92809347,954,29.7019556164742,183.259855688084
8,520527.812716261,4857953.92809347,712,15.4643291980028,203.51038637571
9,502827.812716261,4761853.92809347,11190,27.7688867365941,192.109473268501
9,512127.812716261,4764853.92809347,8416,25.3381467983127,264.988177267369
10,498527.812716261,4855153.92809347,403,27.0709723234177,208.17391710123
10,573627.812716261,4982653.92809347,9100,27.0444377651438,260.418695874978
10,552027.812716261,4959753.92809347,619,19.8278785916045,264.373653614894
10,628827.812716261,4994653.92809347,960,16.2709688767791,207.315823850222
11,507027.812716261,4737753.92809347,28210,27.6421427726746,225.845094113611
12,520927.812716261,4739353.92809347,3067,15.9961082413793,258.012074616272
12,576427.812716261,4798153.92809347,3186,12.570561976172,242.250561481342
12,489227.812716261,4808653.92809347,38140,18.557864157483,182.906293538399
12,578927.812716261,4817153.92809347,56046,25.47644731123,265.816904604435
12,578627.812716261,4860353.92809347,468,20.6114049535245,267.290540894028
12,513827.812716261,4970853.92809347,497,23.5591381182894,200.477038230747
12,537927.812716261,5018753.92809347,647,22.1213411446661,238.37643598672
12,512227.812716261,4746353.92809347,43370,21.8796164682135,204.529931510333
12,520327.812716261,4880953.92809347,635,11.8551300652325,205.980244316161
12,530027.812716261,4729953.92809347,407,10.1439736271277,187.548792643938
12,494827.812716261,4968153.92809347,33465,16.8536730762571,208.371348765213
13,591027.812716261,5053953.92809347,397,16.5061706118286,230.997576601803
14,461127.812716261,4907753.92809347,4210,29.8949533328414,213.505919147283
14,455327.812716261,4955853.92809347,4879,16.1129016662017,246.446948270313
14,486827.812716261,4719853.92809347,98799,22.8923046588898,234.146287499461
14,505327.812716261,4793653.92809347,1881,20.9082252718508,188.620743846986
14,560727.812716261,4801453.92809347,2315,21.1952596437186,259.482723951805
14,536727.812716261,4808753.92809347,666,17.5599994231015,203.790118626785
14,565527.812716261,4838453.92809347,596,26.6449321154505,263.336273068562
14,560427.812716261,4885653.92809347,581,17.4465107684955,248.409538585693
14,550627.812716261,4895153.92809347,3848,19.6977409766987,257.542178523727
14,429727.812716261,4959453.92809347,1493,11.2160881375894,217.018418912776
14,571827.812716261,4804253.92809347,422,13.9542006328702,258.075852748007
15,503327.812716261,4861153.92809347,646,23.6717490665615,206.768854607362
16,490327.812716261,4726453.92809347,603,25.7869960414246,208.590876320377
16,567427.812716261,4797553.92809347,802,20.1156784454361,237.409653088544
17,538927.812716261,4716953.92809347,6264,24.5705775823444,204.859357781243
17,482727.812716261,4728053.92809347,3108,11.1236536735669,188.852056253236
18,586227.812716261,5020353.92809347,7800,24.7195718064904,196.841037743725
18,553427.812716261,4902353.92809347,644,28.8685205951333,248.975307578221
18,542727.812716261,5046653.92809347,2590,24.3164833821356,268.306750052143
18,497727.812716261,4824953.92809347,1222,10.8221169793978,225.187457534485
19,586527.812716261,4851353.92809347,20378,14.1526360576972,191.034628527705
19,510127.812716261,4897053.92809347,831,11.5652159648016,216.791512873024
19,581227.812716261,4957853.92809347,431,19.8987734643742,268.452460134868
19,478627.812716261,4715053.92809347,15292,20.5403132969514,259.14097573841
19,505827.812716261,4898853.92809347,16692,19.9825434247032,180.328529155813
19,594327.812716261,5018353.92809347,215861,25.8347676787525,206.033514726441
19,527827.812716261,5019053.92809347,4063,24.1765243560076,233.772188220173
19,568927.812716261,5038653.92809347,710,21.9548722309992,261.89062646823
20,542727.812716261,4878953.92809347,4127,26.7585231224075,229.579338280018
20,599327.812716261,4760453.92809347,1186,11.2822309695184,210.846705841832
20,513027.812716261,4998153.92809347,1442,24.7271897504106,219.862504145131
20,547027.812716261,4761153.92809347,84172,29.2745102522895,254.459679904394
20,558927.812716261,4819453.92809347,5251,10.720046479255,182.599351261742
20,558727.812716261,4869053.92809347,770,27.7229869691655,230.703793787397
20,500727.812716261,4995653.92809347,2279,29.6912418073043,215.982822957449
21,489027.812716261,4876353.92809347,416,16.6304490249604,217.094360569026
21,560327.812716261,4901053.92809347,834,25.1283157197759,224.619714205619
21,516727.812716261,4924053.92809347,74876,10.5091716861352,243.979533696547
21,458227.812716261,4940653.92809347,444,12.7628673706204,248.623606693
21,571427.812716261,4967153.92809347,3558,23.7409065244719,194.662044772413
21,490427.812716261,4704253.92809347,377,21.7432700842619,213.005064558238
21,529427.812716261,4806853.92809347,595,20.0471842940897,183.011486968026
21,548527.812716261,4862953.92809347,2548,18.4303335286677,183.249966257717
21,563527.812716261,4870253.92809347,791,12.2556233080104,242.126915773842
21,615427.812716261,5001153.92809347,774,20.3850605525076,214.329455760308
21,581527.812716261,5013653.92809347,6987,11.7832238087431,193.576424906496
22,527527.812716261,4791853.92809347,91758,16.8605668237433,216.898882684764
22,511827.812716261,4880353.92809347,537,21.7089312709868,209.581974553876
22,576627.812716261,4921553.92809347,527,23.517353865318,214.773206978571
22,500427.812716261,4978453.92809347,643,25.2183270594105,182.766329019796
22,538027.812716261,4961053.92809347,1889,11.4430736191571,201.61129163811
22,589727.812716261,5053653.92809347,997,24.4199553132057,185.881569217891
22,535127.812716261,5012853.92809347,847,11.2636836618185,194.195612145122
24,586327.812716261,4887753.92809347,3938,20.4560518823564,268.611200514715
24,582127.812716261,5012553.92809347,15574,19.2884152475744,244.462729208171
25,488127.812716261,4759553.92809347,23394,20.5099783372134,209.672855946701
25,529027.812716261,4809153.92809347,201614,25.1099149463698,198.713666643016
25,504027.812716261,4852853.92809347,24965,19.4126462424174,195.851675507147
25,538927.812716261,5044653.92809347,3751,27.9480734048411,267.123039790895
26,531427.812716261,4837853.92809347,7702,21.7617946118116,200.174922631122
26,509327.812716261,4878453.92809347,993,26.4992357557639,180.652966015041
26,429627.812716261,4986153.92809347,620,24.0389900747687,257.985324233305
26,481627.812716261,4916053.92809347,805,16.1455039121211,194.373282529414
26,559627.812716261,4991553.92809347,985,16.9523198762909,232.183412325103
27,476927.812716261,4774853.92809347,17336,23.8661678694189,219.921560541261
27,580527.812716261,5025353.92809347,20342,23.2080189185217,233.529914778192
27,534527.812716261,4668453.92809347,591,23.2815539324656,196.574976900592
27,474927.812716261,4763953.92809347,22385,18.6961847171187,263.563820826821
28,556427.812716261,4787653.92809347,4392,16.5426319139078,251.723819542676
28,522127.812716261,4883753.92809347,13254,18.6314030271024,231.787249802146
28,514627.812716261,4845253.92809347,3456,10.0157474214211,253.50391040789
28,470727.812716261,4898553.92809347,2675,22.4503572331741,222.175158800092
28,560227.812716261,4935853.92809347,818,22.5478174025193,228.41005662689
28,588827.812716261,5026553.92809347,404,16.3930688565597,250.702357613482
28,517427.812716261,4874653.92809347,2573,26.2615709425882,242.673989350442
29,562227.812716261,4958953.92809347,476,27.1520862495527,262.026573414914
30,522127.812716261,4853653.92809347,909,25.5403546942398,180.537229471374
30,511027.812716261,4965753.92809347,966,25.6671082042158,229.840915768873
31,668227.812716261,4709953.92809347,1196,26.4614956639707,212.646574540995
31,491527.812716261,4960353.92809347,3214,15.5961027974263,187.449743233155
31,540527.812716261,4722553.92809347,15118,12.6977639831603,238.199056349695
31,404527.812716261,4963953.92809347,1065,19.9659170024097,212.488099867478
32,534627.812716261,5031053.92809347,565,10.2222512848675,250.163082517684
32,536227.812716261,4865953.92809347,3451,27.0183023391291,266.389020164497
32,584227.812716261,5026853.92809347,489,13.3843960380182,193.344299120363
33,589027.812716261,4803953.92809347,491,28.2622043276206,263.097295139451
33,544627.812716261,4794753.92809347,3509,24.5307834912091,247.006320613436
33,492527.812716261,4880553.92809347,557,16.1235286109149,203.906466965564
34,494427.812716261,4805053.92809347,7870,12.5644326023757,235.819870505948
34,519827.812716261,4994053.92809347,1775,19.2257995344698,184.555889675394
34,520027.812716261,4767653.92809347,41824,22.4764817487448,187.194028194062
34,426227.812716261,5031053.92809347,13023,27.3002871591598,253.222473696806
35,585927.812716261,5051353.92809347,433,15.5316806584597,186.341867151204
36,528427.812716261,4711853.92809347,586,15.237825633958,227.909954104107
36,542527.812716261,4807653.92809347,725,24.8715572617948,181.286670856643
36,550527.812716261,4851153.92809347,1256,16.6276943171397,260.668775006197
36,575827.812716261,4851253.92809347,521,17.43163716048,221.466743058991
36,546527.812716261,4871153.92809347,501,13.9083193661645,194.475643127225
36,529227.812716261,4735553.92809347,4205,24.6911465190351,227.335864941124
36,536727.812716261,4809953.92809347,403,29.8934092652053,232.022714812774
36,539227.812716261,4828753.92809347,2182,20.4004717106,221.294903042726
37,482127.812716261,4892153.92809347,7948,29.5761058153585,245.047421730123
37,529327.812716261,4991553.92809347,432,17.3170601716265,220.508203385398
38,556827.812716261,4910253.92809347,489,12.6133433543146,193.45465953229
38,531427.812716261,4797453.92809347,483,27.9839432472363,191.671057676431
38,542127.812716261,4799953.92809347,546,22.2792759351432,200.186026850715
38,635927.812716261,4719653.92809347,4882,26.5539241349325,188.326149140485
38,508027.812716261,4727653.92809347,951,29.0692243073136,211.615512315184
38,503027.812716261,4843953.92809347,1291,15.5014383327216,214.805348895025
38,558927.812716261,4994653.92809347,408,16.9169511785731,183.936946685426
38,467227.812716261,5017153.92809347,5520,15.3491351520643,246.475727010984
38,661827.812716261,4713053.92809347,3275,22.4045830173418,229.704052261077
38,663627.812716261,4718153.92809347,629,10.3189993370324,208.976517878473
38,483327.812716261,4804453.92809347,3949,23.5473909741268,194.815802173689
38,566027.812716261,4838253.92809347,5262,21.3506872951984,252.710758110043
38,596727.812716261,4880053.92809347,1017,22.2059446806088,263.901532252785
39,532427.812716261,4829853.92809347,1458,11.796292043291,198.786174610723
40,505027.812716261,4761553.92809347,2376,23.258611401543,199.212086331099
40,557227.812716261,5042753.92809347,853,29.398164851591,264.959631606471
40,528427.812716261,5002853.92809347,1384,15.8959013782442,248.650769905653
41,539227.812716261,4788653.92809347,4667,19.7476375149563,223.450105993543
41,457727.812716261,4834153.92809347,2741,24.7267085313797,226.483257415239
41,513027.812716261,4792553.92809347,679,15.0663172919303,232.853736779653
42,538027.812716261,4802253.92809347,4091,12.859173733741,211.167981864419
42,576527.812716261,4839953.92809347,485,22.8663655743003,250.434516642708
43,597227.812716261,4801353.92809347,37964,21.1128337588161,260.433773871046
43,596527.812716261,4878753.92809347,1087,28.3706803573295,209.784221872687
44,589227.812716261,5004253.92809347,561,16.453400189057,193.458055355586
44,468927.812716261,4719653.92809347,671,24.5234399521723,262.12269190466
44,559227.812716261,4818953.92809347,5219,15.1826526829973,247.520540670957
44,466127.812716261,4828153.92809347,4250,17.483200985007,214.573569218628
44,537127.812716261,4835653.92809347,727,16.3857972621918,205.753908497281
45,526527.812716261,4674753.92809347,435,23.9847311004996,255.547195924446
45,591227.812716261,4885753.92809347,5553,13.4156167926267,251.14220261341
45,615527.812716261,5001253.92809347,1081,16.6424045572057,186.946517927572
45,494227.812716261,4982953.92809347,410,28.4189920919016,223.440665120725
46,532927.812716261,4802953.92809347,426,29.6111921034753,226.333603269886
46,534727.812716261,4765753.92809347,784,18.1690186588094,226.030915395822
46,512527.812716261,4890753.92809347,1097,20.0376932369545,268.909520704765
46,526427.812716261,4964053.92809347,788,15.9964853804559,203.341304655187
