year,x,y,max_size,windspeed,winddirection
1,480927.812716261,4703653.92809347,1648,15.2325655752793,267.971633893903
1,492827.812716261,4769953.92809347,20146,28.7817906588316,191.684493238572
1,547827.812716261,4796453.92809347,57981,20.5639140401036,201.730167351197
1,464427.812716261,4917153.92809347,641,16.0596675937995,246.162197648082
1,564927.812716261,5033053.92809347,399,14.4955205311999,185.924468762241
1,464127.812716261,4917653.92809347,1021,23.6647810135037,215.000322356354
1,411227.812716261,4955653.92809347,7715,15.6842769728974,188.326437729411
1,409027.812716261,5047153.92809347,1077,16.4652637764812,228.71654973831
1,508027.812716261,4736253.92809347,458,23.9746840065345,194.363229610026
1,590127.812716261,5026553.92809347,1578,21.2822540244088,263.323401776142
2,488027.812716261,4775253.92809347,2549,25.7904788572341,225.540400575846
2,597127.812716261,4794453.92809347,4609,16.2968150340021,228.639347674325
2,527527.812716261,5020353.92809347,988,14.273400567472,241.678283563815
2,501027.812716261,5079453.92809347,5526,12.1203343290836,193.064283791464
3,477927.812716261,4751953.92809347,734,11.0734943533316,204.531186532695
3,499827.812716261,4854453.92809347,455,16.0892264638096,216.351248337887
3,512927.812716261,4850753.92809347,727,19.6093439823017,212.17211387353
4,529827.812716261,4674353.92809347,2531,17.9986348934472,211.85218287399
4,503027.812716261,4787053.92809347,1543,17.7453662548214,258.624584600329
4,509427.812716261,4760453.92809347,1488,15.7726871687919,235.147458768915
4,563727.812716261,4775453.92809347,533,11.2605882389471,246.631736084819
5,528527.812716261,4966853.92809347,619,11.6946579609066,259.983306652866
5,505227.812716261,4780253.92809347,1007,16.658254545182,200.479972546455
5,565627.812716261,4919853.92809347,860,27.1970361657441,226.024726743344
5,455127.812716261,4955653.92809347,594,13.2113347249106,269.957210719585
6,562227.812716261,4812953.92809347,3959,21.3089465955272,252.054727084469
6,497827.812716261,4857553.92809347,3304,15.0261793332174,189.135355716571
6,582527.812716261,4955253.92809347,1814,11.7751830304042,260.979192147497
6,526527.812716261,4874053.92809347,449,15.2753236470744,193.493960662745
7,500227.812716261,4822653.92809347,618,16.7977927438915,187.724000299349
7,570827.812716261,4840853.92809347,7016,14.4997187331319,204.391253299545
7,599927.812716261,4771253.92809347,49763,29.0393686015159,226.236136278603
7,532027.812716261,4954253.92809347,397,15.8655870519578,268.373992173001
7,502127.812716261,4959153.92809347,849,10.1722816657275,266.37826773338
7,503827.812716261,4840753.92809347,1279,29.1841384023428,235.428564415779
7,499527.812716261,4905353.92809347,1619,10.7024888694286,209.123912933283
7,418827.812716261,4984653.92809347,756,13.4708338137716,221.188599178568
7,543627.812716261,4824653.92809347,6084,10.273171341978,210.883135688491
8,536127.812716261,4841053.92809347,3391,22.0964123029262,242.996998520102
8,581427.812716261,5010353.92809347,1270,14.6715655690059,198.673524053302
8,562927.812716261,4847553.92809347,3799,25.8385728765279,202.174505197909
8,529427.812716261,4869053.92809347,994,28.7066374020651,205.094359188806
8,569227.812716261,5037953.92809347,10059,20.838552727364,226.494438622613
8,567727.812716261,5001653.92809347,402,27.5907646026462,254.886534505058
9,538727.812716261,4798253.92809347,649,18.4715547971427,235.452605956234
9,506127.812716261,4866553.92809347,1825,22.33848745469,190.053176481742
9,576227.812716261,4922253.92809347,1238,29.7493834374472,195.383638164494
9,449227.812716261,4929153.92809347,578,17.5629834085703,242.830439794343
