year,x,y,max_size,windspeed,winddirection
1,542427.812716261,4856453.92809347,1226,14.3669539503753,268.764835938346
1,424527.812716261,4970453.92809347,388,17.6865544030443,193.385339495726
1,517227.812716261,4766653.92809347,458,23.2558616902679,210.12408799259
2,545327.812716261,4699653.92809347,510,27.1541932132095,267.088658858556
2,610027.812716261,4759853.92809347,11626,25.7866376033053,265.887049629819
2,573627.812716261,4920253.92809347,8693,21.6989002143964,233.788688227069
2,430627.812716261,4927353.92809347,1224,12.1242827177048,265.925215054303
2,467427.812716261,4786153.92809347,1190,22.8437966806814,197.196818876546
2,506627.812716261,4786653.92809347,11306,19.3335343990475,189.035961159971
2,504627.812716261,4844053.92809347,6969,16.4095833711326,182.445446422789
2,538327.812716261,4881653.92809347,659,22.6705849403515,214.645668799058
2,443427.812716261,4954553.92809347,591,17.1561309602112,217.18035296537
2,503427.812716261,4997453.92809347,598,16.3287903089076,204.087533068378
2,634927.812716261,4994653.92809347,998,25.1539950771257,262.416786882095
2,625627.812716261,5006453.92809347,524,27.8685654047877,201.353185954504
2,548727.812716261,5032753.92809347,1450,24.0811848966405,236.964665853884
2,581227.812716261,5056753.92809347,990,24.5359680289403,227.264981721528
3,507727.812716261,4728253.92809347,1029,14.2915902659297,261.282486284617
3,483327.812716261,4692053.92809347,8639,16.1619268497452,235.565923021641
3,526127.812716261,4724753.92809347,495,19.7269143303856,213.784657744691
4,460827.812716261,4954253.92809347,5631,16.1090366262943,238.46916944487
4,588127.812716261,4877753.92809347,2727,20.8113379310817,236.503807024565
4,456127.812716261,4987053.92809347,410,18.6192904878408,248.831976489164
4,548427.812716261,4759753.92809347,4416,27.8304095752537,225.130919502117
4,452427.812716261,4832053.92809347,2014,21.4980710623786,198.370096832514
4,502627.812716261,4907853.92809347,28918,14.8885529767722,199.620919106528
4,527027.812716261,4782753.92809347,1940,21.3449429301545,201.043869901914
4,560027.812716261,4830653.92809347,396,21.9457704853266,190.04516906105
4,549827.812716261,4867553.92809347,12290,27.4367762170732,249.275369360112
4,552527.812716261,4999753.92809347,2068,11.3461480149999,253.701266278513
4,612027.812716261,5009253.92809347,1875,13.7315305229276,226.222376923542
5,510127.812716261,4751553.92809347,11466,27.3899117205292,240.763843324967
6,576627.812716261,4921553.92809347,814,21.0040988493711,249.568821319845
6,596727.812716261,4809653.92809347,420,26.8545347452164,203.026724935044
6,525127.812716261,5016153.92809347,453,11.4510132092983,216.706354203634
7,463927.812716261,4757853.92809347,602,15.9689564770088,182.629362666048
7,537627.812716261,4827353.92809347,1719,17.9094537720084,209.92607269669
7,458027.812716261,4973053.92809347,2234,16.4235385647044,252.446357051376
8,506227.812716261,4811253.92809347,1546,23.2640237547457,240.421002237126
9,532727.812716261,4852653.92809347,843,14.8356816824526,184.375719011296
9,565427.812716261,4874453.92809347,734,25.431040385738,186.41394980019
9,423627.812716261,4963353.92809347,1056,11.1726137623191,210.516066018026
9,509127.812716261,4884853.92809347,648,22.9770545102656,249.288552668877
10,476027.812716261,4788953.92809347,1835,10.985920666717,226.937240192201
