year,x,y,max_size,windspeed,winddirection
1,513827.812716261,4952153.92809347,515,12.2206464689225,193.258106438443
1,626127.812716261,5001153.92809347,10097,20.5568469269201,258.565876723733
2,488727.812716261,4775853.92809347,1284,16.2402235716581,188.111804053187
3,530127.812716261,4930053.92809347,1473,26.1107856873423,196.420045697596
3,520227.812716261,4879153.92809347,410,21.9485405366868,181.343675970566
3,565427.812716261,4874253.92809347,3727,18.1044618505985,212.879663596395
4,574227.812716261,5045353.92809347,1481,15.4682161007077,226.086016979534
5,469827.812716261,4749753.92809347,504,21.410413114354,223.32216311479
5,400927.812716261,4955253.92809347,1251,23.3154173009098,224.413569804747
5,462427.812716261,4966453.92809347,1858,12.7289773570374,186.586967620533
6,630627.812716261,5006453.92809347,1332,25.9053281042725,240.905153201893
7,582127.812716261,4971753.92809347,3121,27.3405637033284,180.994291843381
7,498227.812716261,4942253.92809347,882,13.8095941953361,236.547889779322
7,598427.812716261,5021653.92809347,484,16.6004692623392,198.559565164614
8,563827.812716261,4783653.92809347,392,28.5384910926223,190.800864771008
8,407427.812716261,4961653.92809347,2390,14.4066378613934,217.903988021426
9,468527.812716261,4969053.92809347,6966,23.0978422006592,234.573055305518
9,427127.812716261,4985753.92809347,948,29.5683234464377,205.110191451386
9,640327.812716261,4725753.92809347,2334,26.5193824050948,256.322188912891
10,479527.812716261,4701953.92809347,5681,26.8787387153134,265.471512400545
10,464327.812716261,4830953.92809347,654,21.3041668804362,225.460158102214
10,552227.812716261,4832053.92809347,2501,29.6606728853658,269.510110365227
10,543327.812716261,4843753.92809347,2746,24.9715355783701,189.858661489561
10,565527.812716261,4958653.92809347,5679,29.0547399921343,255.760730963666
11,564027.812716261,4923853.92809347,380,15.1565871248022,187.175153112039
11,514227.812716261,4856453.92809347,1804,29.9193312833086,231.97263375856
11,544127.812716261,4886353.92809347,619,22.2785594500601,200.366558439564
11,494327.812716261,4952553.92809347,1273,21.4433774258941,189.938291686121
11,523627.812716261,4866453.92809347,833,18.5179439699277,245.112805478275
12,538927.812716261,4787553.92809347,854,10.4359742673114,247.205347416457
12,517427.812716261,4832353.92809347,2284,21.1056255269796,256.424733786844
12,529027.812716261,4850953.92809347,781,29.0136126521975,199.293200355023
12,521727.812716261,4930653.92809347,19847,19.7353716753423,234.276201466564
12,559127.812716261,4837953.92809347,992,24.0577934728935,203.625990443397
12,562927.812716261,4995053.92809347,517,10.1877111988142,199.893833894748
12,536927.812716261,4933553.92809347,46426,24.8228140408173,204.275033602025
13,529027.812716261,5020153.92809347,898,28.7655195174739,241.077885660343
13,591627.812716261,4898853.92809347,1851,12.2612000862136,219.778019925579
13,497927.812716261,4784053.92809347,1593,16.4580469205976,203.231637761928
14,537327.812716261,4697553.92809347,631,18.7321367161348,246.644509539474
14,500527.812716261,4853353.92809347,629,20.8047913573682,208.417650964111
14,541227.812716261,4880353.92809347,3916,16.3992961589247,196.517958480399
14,597027.812716261,4889853.92809347,8806,14.4526779372245,197.94377280632
14,454127.812716261,4986353.92809347,2109,18.8632998242974,261.383360289037
14,542027.812716261,4710253.92809347,9765,25.4303006129339,188.207126639318
14,508127.812716261,4811753.92809347,4588,28.5194783471525,257.794097859878
14,540127.812716261,4762253.92809347,1328,19.7380067314953,267.649009579327
14,578427.812716261,4969753.92809347,165339,29.3075916310772,197.430432282854
15,490427.812716261,4813153.92809347,2394,13.6944512603804,242.140071904287
15,514927.812716261,5025553.92809347,385,23.8927416689694,202.781633036211
15,562127.812716261,4868253.92809347,1302,18.2440832536668,187.438471647911
16,541027.812716261,4855553.92809347,776,12.4123349227011,260.045848872978
16,565927.812716261,4945553.92809347,19124,11.1605140194297,259.037416360807
16,543927.812716261,4795053.92809347,2037,20.7738376874477,187.419082524721
16,527627.812716261,4920053.92809347,1607,15.548268025741,189.290884968359
