year,x,y,max_size,windspeed,winddirection
1,485227.812716261,4755553.92809347,1092,26.4839547500014,184.655614416115
1,491627.812716261,4818653.92809347,4457,29.8961438750848,239.652477940544
1,507927.812716261,4897453.92809347,1477,28.6660873703659,184.494250731077
1,488027.812716261,4777853.92809347,1222,25.5601909384131,182.009766097181
1,548427.812716261,4790953.92809347,3951,16.0489095095545,244.355095387436
1,494927.812716261,4868453.92809347,401,21.3031201064587,253.123196465895
1,522327.812716261,4865653.92809347,4028,19.8526221700013,244.976667549927
1,549827.812716261,4870753.92809347,4955,16.8994810525328,248.620289030951
1,556427.812716261,4887453.92809347,464,11.3131521223113,197.480093655176
1,471427.812716261,5006953.92809347,5269,19.1004523588344,223.337980457582
2,595927.812716261,4763353.92809347,790,22.8146435739473,182.285950079095
2,506327.812716261,4892853.92809347,468,22.2147473646328,226.262515091803
2,518327.812716261,4893853.92809347,745,19.0278318617493,226.538752843626
2,471227.812716261,4823253.92809347,8231,10.734338904731,255.738346944563
3,655127.812716261,4715553.92809347,680,29.1679704841226,187.880010462832
3,578727.812716261,4942153.92809347,760,17.3624510830268,269.54369535204
3,594627.812716261,5023553.92809347,5715,18.8828480150551,237.806322465185
3,625027.812716261,4992553.92809347,961,11.7629501456395,267.07984884968
4,473727.812716261,4816453.92809347,396,28.7623600615188,197.961312588304
5,510927.812716261,4824653.92809347,686,14.6940022567287,217.052839680109
5,573927.812716261,4945853.92809347,628,27.4739911220968,253.661426380277
7,567427.812716261,4924253.92809347,24251,17.3612314881757,207.583606964909
7,555727.812716261,4779853.92809347,1664,24.9867343856022,218.096216493286
7,527827.812716261,4994753.92809347,3990,16.2424389645457,186.491885154974
7,664227.812716261,4712653.92809347,450,29.9410954769701,235.171602631453
8,470227.812716261,4888853.92809347,2358,15.1616277592257,222.754583128262
8,430127.812716261,4932653.92809347,639,10.449472842738,254.769946024753
8,528627.812716261,4782653.92809347,26369,17.7050915546715,251.049773732666
9,473027.812716261,4816953.92809347,2648,28.2061946485192,218.129991141614
9,600527.812716261,4760953.92809347,874,29.1885650344193,247.725427409168
9,586827.812716261,4900953.92809347,728,22.1269264677539,268.374791555107
9,567327.812716261,4935353.92809347,12526,13.0577014712617,269.396043203305
10,523727.812716261,4884353.92809347,1847,13.8375509856269,215.239769211039
10,580327.812716261,4899853.92809347,278722,19.1536714229733,239.839672304224
10,539327.812716261,4726653.92809347,1390,16.0655310470611,224.024494914338
10,576627.812716261,4921553.92809347,4659,27.8545417869464,258.059654196259
10,634827.812716261,4997053.92809347,637,28.3918277965859,257.656783908606
11,615227.812716261,5010153.92809347,982,28.6587910959497,194.23865481047
11,464727.812716261,5019353.92809347,793,26.7097827652469,246.176410128828
11,491627.812716261,5033453.92809347,2170,19.4175178091973,255.593224160839
12,560027.812716261,4830853.92809347,1880,19.1768990457058,190.278688904364
12,541627.812716261,4846053.92809347,1588,29.4973003445193,234.815636719577
12,552027.812716261,4933653.92809347,1600,16.3077616551891,257.508235441055
12,531427.812716261,4739753.92809347,1655,17.064702953212,218.431531093083
12,534527.812716261,4704353.92809347,19337,24.204349196516,265.928061297163
13,512927.812716261,4851453.92809347,649,20.5730809597299,259.685719313566
13,560127.812716261,4865053.92809347,1128,29.8571261297911,180.74487588834
13,574927.812716261,4878953.92809347,2417,27.2941885096952,182.873091080692
13,583627.812716261,4943953.92809347,433,18.8528533093631,229.127879776061
13,533427.812716261,5004253.92809347,4642,22.2232003929093,224.697326312307
13,495427.812716261,5024853.92809347,5570,20.0311042834073,267.196897182148
13,563127.812716261,5032753.92809347,115477,13.7795435683802,203.308974041138
13,525027.812716261,4809553.92809347,1043,27.1733665186912,191.934796585701
13,514327.812716261,4845853.92809347,2256,10.2213930431753,260.471527136397
13,556027.812716261,4852153.92809347,2169,12.491268296726,253.369112641085
13,596827.812716261,4808553.92809347,2997,21.9174794759601,210.188412938733
14,588027.812716261,4779953.92809347,933,10.4063855158165,185.832732017152
14,480027.812716261,4810453.92809347,1200,26.4840081287548,183.314490860794
14,496627.812716261,4827353.92809347,5068,26.9436163594946,213.827422570903
14,550927.812716261,4881453.92809347,2623,26.3828508462757,202.341691015754
14,490727.812716261,4905953.92809347,501,25.9142374573275,238.428205701057
14,441227.812716261,4930253.92809347,592,19.4068884337321,184.117705004755
14,563827.812716261,4995453.92809347,1419,20.6069769151509,185.013027924579
14,619127.812716261,5003853.92809347,460,28.2101002940908,244.587906457018
14,596127.812716261,5007853.92809347,14132,13.7473814748228,210.095259652007
14,625527.812716261,5004853.92809347,898,27.177028786391,242.05445419997
14,535227.812716261,4745453.92809347,2317,29.0225781034678,187.348148699384
14,537427.812716261,4747453.92809347,991,19.7218225477263,232.056511191186
15,552127.812716261,4855853.92809347,616,16.5407420834526,188.351345330011
15,484827.812716261,4963053.92809347,650,24.6686905995011,266.299874160904
15,505927.812716261,4765653.92809347,954,11.547699724324,249.176212032326
15,459027.812716261,4838553.92809347,1461,29.1258985036984,198.90615493292
16,444427.812716261,4965053.92809347,809,10.678196051158,201.574422915
17,465627.812716261,4723753.92809347,13416,13.3767374092713,266.136831769254
17,599227.812716261,5010753.92809347,801,11.854773517698,227.215944989584
17,579027.812716261,4814553.92809347,3510,25.499219475314,254.210455538705
17,547327.812716261,4871353.92809347,6315,24.8936889553443,227.87615651032
17,620927.812716261,5003353.92809347,433,19.4248663913459,263.176662793849
17,507527.812716261,4737453.92809347,574,27.3008913686499,189.59964993177
17,542827.812716261,4773453.92809347,1182,10.9691025828943,231.542030498385
17,578227.812716261,4787353.92809347,2025,22.6450723735616,205.449897414073
17,453927.812716261,5028953.92809347,464,27.3612594790757,199.394137726631
18,570127.812716261,4903753.92809347,846,25.1765866251662,224.698931446765
18,498827.812716261,5006553.92809347,1937,26.1192006058991,228.559796833433
19,505127.812716261,4788453.92809347,30489,16.8872189288959,243.421629611403
19,508427.812716261,4801753.92809347,2185,13.8581271329895,188.966391258873
19,492727.812716261,4804353.92809347,21655,25.1489073922858,252.191586086992
19,560127.812716261,4904753.92809347,17520,11.0125783085823,190.191690407228
19,540527.812716261,4917853.92809347,917,24.7214104654267,215.423262901604
19,542627.812716261,5008053.92809347,2728,24.5815238310024,246.966363075189
20,646627.812716261,4718653.92809347,2385,21.5218258090317,262.519914968871
20,508627.812716261,4756253.92809347,1594,23.7921479064971,232.084408134688
20,581727.812716261,4797453.92809347,20508,23.8517159270123,256.225532304961
20,558527.812716261,4876053.92809347,582,20.4134851926938,218.746028104797
20,511627.812716261,4970453.92809347,1889,16.945523750037,261.378759839572
20,400727.812716261,4954653.92809347,1178,20.8381013944745,198.014106717892
20,450727.812716261,4954553.92809347,2921,26.2399853300303,189.876564501319
20,526127.812716261,5016353.92809347,6022,17.6130163855851,240.539732901379
20,565627.812716261,5019553.92809347,3902,18.0846534110606,264.850525022484
20,561427.812716261,4857853.92809347,22352,22.9378020670265,260.700398627669
21,532327.812716261,4762253.92809347,383,13.9589006686583,243.461415048223
21,468127.812716261,4845653.92809347,2515,12.5442252261564,233.406549633946
21,521527.812716261,4891653.92809347,24436,12.2125062020496,205.482961486559
21,502227.812716261,5037653.92809347,425,24.6046310989186,202.35506731784
21,502727.812716261,4921453.92809347,21261,20.7122915331274,230.954338680021
21,580527.812716261,5033453.92809347,2205,28.3549997163936,269.085301703308
21,516127.812716261,4967253.92809347,15280,20.3256743727252,213.112720088102
