year,x,y,max_size,windspeed,winddirection
1,507727.812716261,4754353.92809347,2272,26.3395444862545,223.419239153154
1,503127.812716261,4785053.92809347,2219,23.9010981051251,193.298863170203
1,522627.812716261,4864553.92809347,46566,20.5064479401335,189.693081162404
1,509027.812716261,4889553.92809347,5689,29.2863907106221,220.575493283104
1,438627.812716261,4956153.92809347,1598,25.8928840933368,226.033204724081
1,563727.812716261,4965453.92809347,7770,10.5073602218181,225.397073740605
1,502627.812716261,5071053.92809347,8869,10.549476868473,257.266263852362
1,540227.812716261,4881253.92809347,3532,19.3405379448086,229.658703817986
2,547827.812716261,4857953.92809347,8958,28.6798360478133,240.605850715656
2,483727.812716261,4981053.92809347,680,29.7246897825971,261.773679242469
2,480527.812716261,4826453.92809347,484,13.6025591287762,254.355448130518
2,461127.812716261,4839153.92809347,389,25.1661022426561,265.677305851132
2,475027.812716261,4845153.92809347,62343,10.3617845382541,224.569942422677
2,499727.812716261,5070053.92809347,8140,11.3930533593521,211.112952532712
3,476427.812716261,4766753.92809347,1915,28.5722554381937,189.480734257959
3,476727.812716261,4796753.92809347,1554,15.5850583966821,210.791858187877
3,412827.812716261,4956053.92809347,605,27.6355424476787,244.778844367247
3,479027.812716261,4822953.92809347,1713,21.1708328081295,204.250760825817
4,571027.812716261,4808953.92809347,541,20.4374722344801,203.95187035203
4,522127.812716261,4939853.92809347,861,29.7169844387099,264.136344250292
4,552127.812716261,4938453.92809347,1240,24.19505672995,242.015377746429
4,538527.812716261,4881053.92809347,1614,20.4442652873695,226.980724500027
5,542027.812716261,4984253.92809347,14324,25.3270471049473,235.145285760518
5,550927.812716261,4846053.92809347,1362,25.5235104402527,250.349453568924
5,547927.812716261,5013353.92809347,947,24.6715920465067,205.110801821575
5,552127.812716261,4859153.92809347,388,10.7043074350804,253.359322808683
6,510327.812716261,4780453.92809347,489,22.3665049672127,236.919927592389
7,547927.812716261,4877453.92809347,805,27.9130436293781,201.694248779677
7,526027.812716261,4751353.92809347,1241,29.9670192832127,189.518044665456
7,547327.812716261,4797653.92809347,741,15.2605630690232,225.740687681828
7,518227.812716261,4882153.92809347,669,29.9600750813261,201.773522431031
7,488427.812716261,4963953.92809347,830,28.2792988279834,184.680421496741
7,503027.812716261,4819153.92809347,614,21.8176549486816,250.141343025025
7,517727.812716261,4887553.92809347,389,15.3951550135389,253.066841724794
7,492727.812716261,4896153.92809347,3847,22.6734361704439,201.479256756138
7,618027.812716261,5003153.92809347,492,14.6654394734651,199.850488202646
8,492127.812716261,4882853.92809347,8488,29.2920909076929,261.156495341565
8,502927.812716261,4879953.92809347,1651,26.2475866451859,252.087941591162
8,522627.812716261,4809153.92809347,8654,23.3266019914299,181.015563521069
8,561327.812716261,4858553.92809347,1350,19.9665483133867,199.539482924156
9,460827.812716261,5020753.92809347,917,27.6706334762275,240.956790628843
9,496027.812716261,5090353.92809347,15675,16.7428784770891,269.665202416945
12,556027.812716261,4863753.92809347,414,11.0456910962239,196.694912316743
12,490127.812716261,4951553.92809347,468,26.5174869447947,252.78332403861
13,566727.812716261,4797953.92809347,485,29.542366261594,213.659369812813
13,496727.812716261,4804253.92809347,626,10.7754805451259,241.644948127214
14,513227.812716261,5062653.92809347,504,12.339298739098,265.739202455152
14,600127.812716261,4997853.92809347,3172,26.1258009169251,212.308044831734
15,565227.812716261,4779153.92809347,1039,21.2948031257838,249.390394887887
15,548227.812716261,4795653.92809347,6510,17.390400362201,241.764118128922
15,513727.812716261,4907653.92809347,1831,14.7616624366492,257.823525674175
15,589127.812716261,5053553.92809347,4068,27.048133672215,217.60685125133
18,649827.812716261,4715553.92809347,532,25.403848416172,190.889201753307
19,650427.812716261,4717553.92809347,1481,11.8928602524102,180.937351416796
19,537227.812716261,4753253.92809347,1008,16.6703098686412,220.528580106329
19,552027.812716261,4981553.92809347,1083,17.3460736358538,182.840870688669
20,543127.812716261,4899753.92809347,5776,19.480168921873,260.902257612906
20,538827.812716261,4954953.92809347,518,24.7303650947288,213.767011030577
20,551227.812716261,5038253.92809347,5324,13.9619382284582,255.987669231836
20,540027.812716261,4695553.92809347,882,15.2122890623286,214.500960458536
