year,x,y,max_size,windspeed,winddirection
1,565027.812716261,5029253.92809347,3948,24.7114193532616,192.901381712873
1,530627.812716261,4673253.92809347,34233,14.5866319723427,213.704411059152
1,583227.812716261,4851353.92809347,891,25.6257691187784,194.417885255534
1,530827.812716261,4865253.92809347,11065,18.6797787994146,254.452611214947
1,531227.812716261,4923253.92809347,650,27.3086723731831,267.631584587507
1,545227.812716261,4982153.92809347,1073,10.4918121499941,197.16063026106
1,504927.812716261,4799453.92809347,1940,11.1217060685158,222.902251998894
1,613427.812716261,5011853.92809347,675,11.5946485148743,181.395320836455
1,500927.812716261,5079553.92809347,1717,17.0301431557164,190.431877635419
2,493527.812716261,4946053.92809347,2119,13.6824855022132,260.231902941596
3,558327.812716261,4779553.92809347,403,28.5614452371374,190.46602555085
3,569627.812716261,4854053.92809347,1132,19.6535861911252,217.113486332819
3,481227.812716261,4896153.92809347,1857,10.1926815230399,255.138725310098
3,494427.812716261,4817853.92809347,3140,17.3155217897147,222.942340148147
4,560427.812716261,4857253.92809347,35135,26.0496178735048,232.708155401051
4,544627.812716261,4805953.92809347,380,11.3606762001291,210.92728495365
4,593127.812716261,4809553.92809347,96910,27.1243039704859,228.394683608785
4,557727.812716261,4922253.92809347,5541,19.8353728884831,184.824249926023
4,459727.812716261,4998953.92809347,717,29.7356782387942,226.005559908226
5,477627.812716261,4748053.92809347,421,18.3575518708676,207.469716765918
5,493527.812716261,4757853.92809347,3912,26.4041449781507,232.939995154738
5,497327.812716261,5015253.92809347,702,18.9217669982463,205.708553222939
6,549327.812716261,4901753.92809347,611,17.3905607545748,239.802419522312
7,510927.812716261,4797253.92809347,24205,29.7344810143113,194.945589196868
7,480927.812716261,4834353.92809347,11428,27.0428053475916,241.733828613069
7,507227.812716261,5003053.92809347,596,16.353000481613,218.437628927641
7,405227.812716261,5047053.92809347,34978,20.3971921605989,225.3458298021
8,669027.812716261,4709653.92809347,380,11.8240137584507,204.093135825824
8,523927.812716261,4888653.92809347,3466,21.8954696226865,237.8033939749
8,550527.812716261,4900453.92809347,446,23.9599484810606,264.657051167451
8,481327.812716261,4929753.92809347,16079,21.9284043833613,263.21286526043
8,599627.812716261,4997653.92809347,14786,10.7396058412269,250.760152386501
9,504527.812716261,4850053.92809347,23890,21.7621279554442,207.761655016802
9,474527.812716261,4765553.92809347,45093,25.881991609931,210.064042762388
9,536127.812716261,4819153.92809347,981,27.4990756763145,205.386862966698
9,577727.812716261,5054253.92809347,1227,15.284238923341,234.693105302285
10,581027.812716261,4820753.92809347,709,15.2442295942456,233.321236842312
10,525127.812716261,4992653.92809347,389,15.042071104981,254.912021232303
10,565327.812716261,4787253.92809347,1137,15.9601704915985,225.830943637993
10,470327.812716261,4830953.92809347,2918,27.4258427321911,194.734185843263
10,482627.812716261,4922753.92809347,1820,14.4139874819666,224.373350080568
10,526027.812716261,4946753.92809347,3783,27.8666602959856,208.138770775404
10,554227.812716261,4895153.92809347,414,15.4300082754344,194.481844205875
11,590127.812716261,5007353.92809347,1986,15.5506666842848,225.927896713838
12,480727.812716261,4712953.92809347,3046,11.0101875802502,221.480105761439
12,512127.812716261,4883053.92809347,701,26.7023129807785,255.531819050666
12,484727.812716261,4930253.92809347,7389,27.3083239933476,204.729949955363
12,639627.812716261,4734853.92809347,492,22.9537077015266,198.566295686178
12,557427.812716261,4785153.92809347,526,10.4088958818465,244.611870674416
12,564727.812716261,4837953.92809347,7295,16.0771586280316,213.230191580951
12,547527.812716261,4885853.92809347,1056,28.4736314229667,214.134880732745
12,514227.812716261,4845753.92809347,5021,27.7379770344123,255.963093135506
12,556027.812716261,4914853.92809347,879,16.0304645961151,254.013207124081
13,549127.812716261,5037853.92809347,6839,26.4009975967929,259.026922616176
13,567027.812716261,4816353.92809347,2208,27.9888108279556,209.972048504278
13,573227.812716261,4884053.92809347,12742,17.1493829181418,238.036518318113
13,527227.812716261,4945153.92809347,635,25.2809122623876,250.568334795535
13,499827.812716261,4850153.92809347,400,25.3691758401692,195.234229315538
13,527827.812716261,4764553.92809347,559,10.3093332657591,264.489469241817
14,673227.812716261,4712053.92809347,551,25.4779561329633,262.051002995577
14,515427.812716261,4872053.92809347,11062,28.2757240813226,185.684022617061
14,577327.812716261,4788253.92809347,1556,26.3428048277274,201.909304254223
14,544027.812716261,4801153.92809347,1278,13.042171811685,185.621998524293
14,515127.812716261,4888253.92809347,4838,20.6729451706633,190.788718659896
14,518427.812716261,4966053.92809347,852,29.7814030759037,193.837199660484
14,480927.812716261,4995653.92809347,920,24.1412668023258,234.10623771837
14,631827.812716261,4999253.92809347,2891,10.4123605974019,260.784573513083
15,641927.812716261,4730853.92809347,7279,23.2881188904867,211.00944763748
16,581327.812716261,5005953.92809347,979,27.8770920680836,219.270438062958
17,518927.812716261,4921953.92809347,865,27.2021910827607,266.180339232087
17,662727.812716261,4716353.92809347,443,11.6606595460325,230.519769585226
18,507927.812716261,4741753.92809347,39554,13.0269827088341,239.405234134756
18,564827.812716261,4812653.92809347,1585,11.5627648122609,207.318871656898
18,513227.812716261,4896853.92809347,10335,24.0010475972667,193.796587097459
18,596527.812716261,4983953.92809347,601,17.8922736831009,241.475379271433
